10;8500;1200
12;11800;2016
13;17600;2535
14;47400;3136
15;46900;3825
15;17800;3825
19;128700;7581
21;215900;10143
21;32900;10143
22;128600;11616
26;57700;18928
27;67600;21141
28;64400;23520
31;361500;31713
31;93300;31713
31;85200;31713
32;84100;34816
32;94100;34816
34;393900;41616
36;137300;49248
41;4876700;72283
41;182100;72283
41;170900;72283
42;166400;77616
43;202100;83205
43;172300;83205
43;208900;83205
47;667700;108241
47;268300;108241
48;269100;115200
58;459400;201840
63;558900;257985
63;504300;257985
64;626700;270336
64;619300;270336
71;730200;367993
73;1963200;399675
81;3413900;544563
82;991600;564816
84;1235300;606816
87;1233600;673641
90;1468900;745200
93;1608100;821655
94;2327100;848256
94;4206400;848256
94;1712700;848256
96;1805367;903168
96;1705500;903168
97;1758400;931491
99;2537000;989901
